,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,0.16903738947578845,0.003649909175741549,0.09722016023083263,0.029094647735051295,0.09597457406581736,0.15164117456113063,0.22775730579515885,0.39071912594003233,709.4937103328186,0.9988565052976157
sigma_y,2.5797202302684066,0.013677094458557686,0.23430820762148036,2.1808731088819844,2.4070409968495285,2.559511134143552,2.722915507040747,3.1091768556099946,293.48594720739504,1.0016460775703027
level[1],-0.3508078523625278,0.10078440328739849,2.214030618547728,-4.86053067583308,-1.7618093456463866,-0.28473397322047383,1.1314973148063596,3.8614568581405333,482.59252141751165,1.003141461941221
level[2],0.01539239813748027,0.09788954601523867,1.850326549020898,-3.7551340759608456,-1.1539451771776565,0.04343319300376139,1.237468610090426,3.4973859241050684,357.2926907214478,1.0023436800253822
level[3],0.7556615120498257,0.10258283231355529,1.932895361951953,-3.1812010811613205,-0.44861219401715263,0.7563445009188141,2.0723583634020777,4.358038248027867,355.0318507411458,1.0030633373635154
level[4],1.8575929879834112,0.09435959742736177,1.9747768582450103,-2.149138834004181,0.49408426523135285,1.8753994652575767,3.2797505127583624,5.5252334249559425,437.989702228507,1.00061197484875
level[5],1.064194739368745,0.09705205789935,1.8329498222407363,-2.76436442896465,-0.16955201956204985,1.1608894524612237,2.3227665868153218,4.477398368226167,356.6905923051359,1.0001646866688911
level[6],0.2710381005159059,0.09651874483185031,1.8359970025672603,-3.3797703437479214,-0.871680631974572,0.23690394020952724,1.4593309985701595,4.038472377020549,361.8433575738419,0.9998813833413887
level[7],-2.7545440212180012,0.09192812505343338,1.8276854249223131,-6.426459479394147,-3.8963693290526162,-2.736700632211142,-1.6797558989627812,0.7526119306299366,395.2811388969237,0.9996696622103416
level[8],-4.2526203609946664,0.09037279248374887,1.92614100536952,-7.763945841062733,-5.622253904938649,-4.295408046153925,-2.96512934480072,-0.4363430585215009,454.2560811333626,0.9990398315490728
level[9],-3.7416606602069504,0.11509918293574357,1.9128045189882075,-7.776286781250148,-5.021201261730868,-3.675758150655006,-2.4110968526291874,-0.12325591022503754,276.18284364285694,1.00695722538724
level[10],-3.475879774400857,0.11563532708595284,1.9092484086018326,-7.143562762130282,-4.799222571330879,-3.437207054750986,-2.2051488020526455,0.2725792091264534,272.61127138961047,1.005455444269893
level[11],-1.469152601151873,0.10976377772946136,1.901679739112497,-5.105013306480271,-2.7567124043872715,-1.4954177679124125,-0.1466038513887497,2.192604144374357,300.1626614859461,1.0054297525462206
level[12],-1.6279528668653676,0.11710004762123061,1.9104030913713805,-5.5816050473428,-2.8174143463484036,-1.5761917758873696,-0.4065324260787648,1.9957737537783165,266.1557671564766,1.0099373965266896
level[13],-2.8782964306375023,0.10341374661962362,1.9194967123801978,-6.669490642466304,-4.159438676839299,-2.9257575220454894,-1.5795554708979194,0.9205602125173504,344.52298387440715,1.001671519238388
level[14],-4.7428061175182465,0.10085657563772558,1.8923358108727313,-8.58419911186516,-5.949289523098947,-4.6806080500895995,-3.435309920764444,-1.2209282679850135,352.0367306664824,1.003157618226591
level[15],-4.374273690203359,0.09566298886537793,1.9088133476472873,-8.067581604525989,-5.759898595864216,-4.345156237822158,-3.0113013067269576,-0.7158827752148036,398.1429545760649,1.0004485259538272
level[16],-3.7247584989281086,0.10592145280143851,1.910868095258179,-7.653861262606794,-5.076104916029676,-3.5861120555315598,-2.405597125331345,-0.05406713436519346,325.4569580602843,0.9987440722213081
level[17],-2.75666211171159,0.11105299547228104,1.9220271640034248,-6.7102895110454295,-4.072026816125206,-2.684668084067032,-1.4860520679852023,0.8791242034310336,299.54252590068603,0.9996824884670505
level[18],-2.2169076569722472,0.09633281586265212,1.9392097925710285,-5.974485491477,-3.566161503666914,-2.1751937860865818,-0.9040876414112207,1.6909888462277154,405.22952533543406,0.9982567587301429
level[19],-3.3745958816992463,0.09674051305738027,1.9598341372296961,-7.210908496783492,-4.634820570688823,-3.3726421100604487,-2.044704066214735,0.40369089779067924,410.41371333921137,1.0010413350027874
level[20],-1.6350728729832804,0.09775128044171401,1.9137873519445114,-5.5759263972367386,-2.9338770421118063,-1.5680337529819992,-0.29503072402532415,1.9932930279005083,383.3032046561948,1.0017861820268734
level[21],-1.3768612091142733,0.08999903966383985,1.903768228640387,-5.095498800589153,-2.6280179864466793,-1.413221278162692,-0.14057762083333988,2.3035939746902767,447.4581254082873,1.0036167420634945
level[22],-2.498179275752137,0.10787053001329834,1.839031727378104,-6.1844546846462745,-3.729850462365981,-2.463439729647936,-1.2922730986796913,1.0404986111643184,290.6516672187099,1.003443472585105
level[23],-2.108425671921338,0.11618980663327039,1.9365758299073248,-5.9137600958700105,-3.4169070619166764,-2.0432031601024763,-0.757111708148299,1.5364038790183345,277.80045742068484,1.0053095188617653
level[24],-3.956468345049251,0.12028708131215625,1.8430915264070562,-7.592441302564211,-5.17302015168238,-4.050066733596491,-2.7691907042229973,-0.11294462708397847,234.77715232541325,1.0080941538338493
level[25],-5.023639941157482,0.11592679941459337,1.9081929666238504,-8.666166020048916,-6.3105620046283715,-5.064477738349028,-3.7227463653653956,-1.0996086966269305,270.94234796397916,1.0063389374382132
level[26],-3.8880732611915962,0.11991687824744938,1.9317280516679598,-7.814404934799544,-5.230469097203192,-3.88347936833315,-2.5974725295522756,-0.25887997256919903,259.4964044237195,1.0067197053929435
level[27],-4.1714110574677745,0.10745454418819068,1.8718180716381212,-7.823743716335471,-5.511667547452036,-4.155983760030686,-2.926251522102784,-0.48603244957312386,303.44340236308057,1.0042049128309276
level[28],-2.1501764168840674,0.11245999172708315,1.8929313427249983,-5.868577987145586,-3.38513573608446,-2.185260312873191,-0.8195522162545671,1.4893763061178666,283.317649460883,1.007787334286597
level[29],0.7358388135871451,0.11418750184360063,1.903687812292887,-2.857391082145732,-0.5884783282103143,0.6936850359155522,2.0301145292341287,4.567246519085069,277.9420878725611,1.0024899891154544
level[30],0.03567497482200409,0.10624599698502407,1.8557366453959432,-3.610671551710575,-1.2651351737176386,0.05058817624941979,1.3175861903735282,3.5964692239703067,305.07564307753836,1.0023089381864791
level[31],0.6542967117543226,0.10142522260970911,1.9315879702734684,-3.235870952216567,-0.6100783891693033,0.621527383494791,1.9876327229962671,4.349006311977275,362.6912220906061,1.0004061124853152
level[32],-0.0883068331667541,0.08975440677752482,1.9722791259322912,-3.931490175319799,-1.4362976767461308,-0.08200316712193165,1.1755269359535467,3.8841029447404125,482.86440824826036,1.000699493744475
level[33],0.6919658653819122,0.09563130630748173,1.958228182829201,-3.1390245570587565,-0.5876968055074628,0.6497159649469403,2.036788051682501,4.509416146537257,419.3015008066422,1.0025717758209824
level[34],0.36426892976341346,0.09534757338394631,1.8684520631705135,-3.4065046043934863,-0.8576243695686557,0.3587024173932598,1.610732630528123,3.915469215949634,384.0118541846817,1.0053567907202396
level[35],0.6762901361066813,0.10226027057910089,1.7984940364917092,-2.946696725581631,-0.46407012332594005,0.7200849838660794,1.9785204309642601,3.98674399578404,309.3172419892608,1.006075491401798
level[36],-0.24377137522260414,0.10709438835491754,1.853264740217519,-3.8970362041280886,-1.3921354573374578,-0.20481253054939697,1.0057395769601734,3.3957427562797924,299.4618453347912,1.0023832425779235
level[37],0.12468661367982826,0.10750371839375478,1.820847318551303,-3.3964442785524103,-1.1189406186495217,0.11159909960103806,1.3755559331980476,3.7692709874953567,286.8798793772454,1.00180519414241
level[38],0.38976548883109197,0.11564348270110379,1.904801101899898,-3.340027868556942,-0.8368567135051173,0.40023417099648,1.5676059697866473,4.075484089151716,271.3044658410072,1.0064763752197765
level[39],-1.5211737264009513,0.12578179725362407,1.9328226026675654,-5.406429232142513,-2.822092431319998,-1.4554357044526693,-0.16801276588469177,2.107351862211136,236.1284952154114,1.005651524254933
level[40],0.4385009182628243,0.10844591765330241,1.8405405724684767,-3.3058289280093494,-0.7808222240116227,0.4725216331738189,1.7498497231903514,3.8064091405044027,288.04767535881984,1.0038199305600284
level[41],0.6273608815655075,0.11611565471846953,1.8908609946524872,-3.1586562470309323,-0.6305005198811411,0.6168413094517111,1.9501918189263692,4.375605042089759,265.1781007135208,1.008586580765557
level[42],2.1587428157408883,0.10619508494470474,1.901081690913868,-1.5739125821163986,0.9393853259395595,2.1287708644019947,3.5027576509705525,5.8734007104776085,320.47394400660204,1.0011321326510165
level[43],3.394505348292186,0.10907070276251558,1.9469493023660158,-0.28981269075339267,2.067397305645131,3.3703814894059203,4.647418932289351,7.371979632568332,318.6346950740301,1.0025809529086378
level[44],3.2887813369631487,0.09738789371058347,1.8845479911783247,-0.2629752440129144,2.0136512695390443,3.2612717425388364,4.501270672904761,7.1007545074446,374.45915835806096,1.0068379966883556
level[45],2.9564950065559343,0.09548213810392021,1.9137508381813104,-0.6205513312837684,1.628700708833974,2.9604629330753536,4.260405894215957,6.831106149544672,401.722833144627,1.0038466962349666
level[46],1.7197485064895248,0.09601301936813048,1.8848517931606996,-2.0007333377839194,0.5473687851953406,1.7609028975874481,2.979695186846164,5.246990179490002,385.3844253699479,1.0065916084067823
level[47],0.2959636071952606,0.10151590850940236,1.8193533158597877,-3.2574405056402984,-0.8910661178413206,0.35697474734468726,1.4785029365905236,3.8388738435298135,321.1928595809747,1.0045733060853645
level[48],-0.4422750381547774,0.10421283848067366,1.951086795664758,-4.232570422273435,-1.8261209044628886,-0.43202757759109933,0.9551458026078485,3.1421814452288706,350.51832634529717,1.0024020361291779
level[49],1.0955656507633065,0.10904192600830974,1.8133262503192684,-2.4160387150284484,-0.07681560935260884,1.0790622666194793,2.292967868580874,4.573162698297927,276.5444006540548,1.0002755446378875
level[50],0.1367551026656929,0.11687860844558766,1.8282287883831358,-3.5032808831007607,-1.05756024311941,0.1164676961919229,1.3470382331543576,3.7213066151216703,244.6758029035069,1.0039608648136509
level[51],-1.4532004227390911,0.09388396928345408,1.8074876187744902,-5.052419414098008,-2.6318595767977957,-1.5422978210858242,-0.2713482078696136,2.231304076796822,370.65321952218983,1.0024215132287815
level[52],-0.9959798276137337,0.09536310776667922,1.802997509438456,-4.482033011394531,-2.176281500299166,-1.048675564384964,0.30764143089603435,2.5588817026943738,357.46165529888606,0.9998267312511455
level[53],-0.2978563897983123,0.0938797933656414,1.8805476445093843,-3.948594542132681,-1.5753907858803982,-0.3796158310625816,0.9377193781843949,3.5068164802482027,401.25867232637864,1.0044951027594682
level[54],0.9846425183664345,0.10206406801488348,1.8218612605689903,-2.3656732414086705,-0.29851371315156977,0.9661959729498464,2.204130386255385,4.519808234205336,318.62867242906157,1.0081340318049377
level[55],-0.061969137371234294,0.11080954886075166,1.794890220740507,-3.711935469350143,-1.2143385170899452,-0.12560828336846713,1.0120119742059697,3.5325614324143766,262.3743702831095,1.0098883039179711
level[56],-1.4385883037776088,0.10587614600271239,1.8836401245532408,-4.992494795420627,-2.658273589980901,-1.4184259513674562,-0.06609166131675051,1.9584851070489537,316.518878131065,1.0076554480716584
level[57],-3.2695147351401856,0.09355840588713774,1.910594492262489,-6.9354584898109035,-4.462388837810106,-3.310995974860772,-1.9910580381576568,0.36071202096664545,417.03395438681105,1.0035650875488578
level[58],-3.580824053599299,0.10398657825053367,1.867679991403955,-7.335460920625117,-4.755889408271173,-3.581052819964955,-2.3688295677222095,0.07491309405344307,322.5895962703915,1.0012252883340769
level[59],-3.8141816036810443,0.12001162738572256,1.908863859538534,-7.496457399300011,-5.087508654265512,-3.8198031548005655,-2.5493649011769333,-0.12282950576898444,252.98994536432025,1.0079915202002405
level[60],-1.1630688811509686,0.12499821484553132,1.9454130637630298,-4.94576977595403,-2.471914976487252,-1.1887111374742914,0.1295254119944873,2.6143408672510944,242.22336572280838,1.0086945684067874
level[61],0.7562617232521329,0.12889196834272407,1.9289703278332582,-2.8995016519954637,-0.5740865412372054,0.7635513769496622,2.1074824774182797,4.586753874856853,223.97491605548672,1.0051779718183123
level[62],-1.9183045827053713,0.11937785153108195,1.8802340493630079,-5.870398033848091,-3.1473097855905223,-1.8906294557362493,-0.5972757560274736,1.634947679135279,248.0711781017062,1.0030584152260105
level[63],-1.1255681026267972,0.11700495183151739,1.914541379535091,-4.827638841137966,-2.476586640084866,-1.109454929363375,0.20797322509330907,2.578617041559346,267.74479098887514,1.00489783632515
level[64],-0.19585830790746656,0.10363646254126906,1.8622676268239116,-3.819001040744532,-1.4553534004293454,-0.14222968735714817,0.9786099252031493,3.555685616893799,322.8932944254929,1.0060906198136346
level[65],-0.2458499252522179,0.12652889286932315,1.8415388306865044,-3.9533688975539096,-1.4541363200493809,-0.23597004979218125,0.9185316212030996,3.504386093697967,211.82750245079177,1.0097995778365183
level[66],-1.1361202218144397,0.09889069542892201,1.9413823546168236,-4.841090321241001,-2.3622919529265385,-1.172598615220946,0.12167513672617554,2.8345394475417383,385.39963051100176,1.0040811221175463
level[67],0.14940621624144815,0.10236913591147656,1.8767853226042095,-3.82546706531389,-1.0242744741843803,0.17670163294169638,1.3494819368547986,3.797583602694015,336.1174978265948,1.0030352398582452
level[68],1.45248430322163,0.10743026396687787,1.8938377366347223,-2.3266313865375987,0.17276843577422946,1.5100076124263,2.8100303637185515,5.115650980533024,310.76510454729174,1.003843573493636
level[69],0.1041945842517538,0.09805563230519432,1.994816806107638,-3.682096184215639,-1.2512110019662297,0.14257369651665983,1.4989873261803415,4.076100460319952,413.8671418090312,1.0012275441289442
level[70],-1.3007150635246176,0.09634594183221558,1.877946924920279,-5.173842340810246,-2.4950872519334713,-1.3505906548093596,0.0037145529317184818,2.5111881545378347,379.9266644680032,1.0008471871867965
level[71],-1.0022908849900534,0.0933393450812242,1.8112207116159906,-4.411060207640363,-2.1423964763313497,-1.0531043397256885,0.08985279670693734,2.794877372672007,376.54185076205675,1.0026748429084926
level[72],0.10556856243307183,0.10575247056996706,1.8575800133720504,-3.402693372904384,-1.1246100647502406,0.09038043184130609,1.3326898047926454,3.7087911693592224,308.5418044672991,1.0030333746663644
level[73],0.5372828229781489,0.1091918959266129,1.814830441693404,-2.926047230875465,-0.7109741707319033,0.5119555150729731,1.8019589614163043,4.041107467065248,276.2430098218545,1.0059307302881015
level[74],1.7389986232720998,0.11442795952381349,1.96039185715271,-2.0675963612246857,0.36036471113075313,1.7653736518005412,3.0227496047133355,5.749256118520766,293.5090336052805,1.00026562619927
level[75],-1.7915685701464037,0.12025023826162792,1.874299518666611,-5.6573594195823915,-2.9721193401079544,-1.746411235485134,-0.5685048546627302,1.7720406126251609,242.94395439194616,1.0048231766900777
level[76],0.2230865321548727,0.09972849946507252,1.9539867446373094,-3.6712853119672535,-1.0680608613774571,0.29007581834327767,1.5017688044693944,4.085367669442995,383.8881066110155,1.0002974789707997
level[77],-1.0244037459643462,0.11309424362484766,1.9953113291726194,-4.951111260823411,-2.2724871800193824,-1.0126934243995973,0.2945916989094816,2.845274331734298,311.27220069023247,1.0015899579001184
level[78],-1.4148154171877076,0.10233073640621348,1.8151614397286784,-5.022590440275517,-2.5982069618274894,-1.3485376502701274,-0.22979251562995354,1.9841734791242147,314.6431745645835,1.0020263235119085
level[79],-1.0797123668956974,0.09134200059323765,1.8731717935907586,-5.076097005044671,-2.328270499197715,-0.9974669252208359,0.235271362875689,2.418509443655253,420.5466523463319,1.001039958998318
level[80],-0.22560784027508052,0.0945140067928566,1.8805570094669661,-4.09880091302608,-1.4927647681918694,-0.19797998905915914,1.1179342513170536,3.25500610023271,395.8955841324003,1.0008182631094882
level[81],0.8956221529104098,0.09603997701390429,1.8232982195627354,-2.6109665487641323,-0.29855052276153604,0.9316134378518368,2.0248365003160256,4.491318728062929,360.42202375943805,1.0007509770244984
level[82],-0.1494118008813824,0.09454989057175357,1.8969097841796978,-3.9671041462251964,-1.435409157870791,-0.21097041927998972,1.139260980614591,3.725948638172456,402.5050115817966,1.001094232197614
level[83],1.0367215912563859,0.09669880538047006,1.988652503443558,-2.764914501490108,-0.3405745122890571,1.0171023162517405,2.3724326772463047,4.901140218227734,422.93690696235336,0.9995565513099484
skewness,-0.012328077578895086,0.05194942244971977,0.4401423845677596,-0.9250498397807467,-0.26489899166341213,-0.010995498984461016,0.24901507911127402,0.8966501785517476,71.78355074838291,1.0199954539459295
y_sim[1],-0.285799845703866,0.10291210745481928,3.308132090024323,-6.9871752012305475,-2.465400968889116,-0.1485601940862915,1.9535582702955543,5.930531916553681,1033.3150159348218,0.9994183349351923
y_sim[2],-0.029288903369162924,0.08566344185487287,3.1100665694517238,-6.067513406482279,-2.054552608283272,-0.09577576671865384,1.988999839987355,6.1575468944549865,1318.0999097161011,0.9984963735568365
y_sim[3],0.7175798859325145,0.08486895021825032,3.002539638993674,-5.140753046545612,-1.3464978293443368,0.6883464746694548,2.889877059798005,6.444808217976183,1251.6411666822166,0.9997597695638716
y_sim[4],1.813184675972675,0.09731339114397512,3.0985830159276624,-4.285369711258115,-0.1800738863847522,1.9225662934463081,3.8564043195817437,7.9246412988591945,1013.8671648901587,0.9999897158848365
y_sim[5],1.2684013273324632,0.09088358126289792,2.9828257347980496,-4.8410263194227054,-0.8418034406632664,1.3385625719110452,3.208233766001216,7.125277685878155,1077.1716101153222,1.0003273847152683
y_sim[6],0.25923811432992794,0.08420271671745642,3.0039764487683662,-5.798666520119623,-1.7042108663129456,0.3581366953506254,2.12296120286389,6.101765703179434,1272.7433581055263,0.9982007843341963
y_sim[7],-2.751299394780809,0.08992759992256419,3.1166041573798804,-8.86599560718055,-4.814345688759552,-2.67484216424705,-0.7307775674643424,3.7119875046779502,1201.094797787603,0.9998284494440883
y_sim[8],-4.273238312602753,0.09070712446043744,3.0230892585113653,-9.927465597865458,-6.430662040467373,-4.277010716862224,-2.2463073545257597,1.9819728038660203,1110.7572113182596,0.9985584359793641
y_sim[9],-3.815040774584935,0.08861308671642937,3.0947089591460677,-9.953377110839327,-5.816735417972881,-3.853445314517195,-1.6072716892554073,2.3000797939571154,1219.674361318453,0.9987100873056005
y_sim[10],-3.6476696453085635,0.09426521001603193,3.1181428225037653,-10.144824146176386,-5.700789970826927,-3.613109348301071,-1.5430668248131132,2.436520707070767,1094.1808971235826,0.999211128794894
y_sim[11],-1.4139156986837726,0.08205468693254442,3.078639447692713,-7.231455558853284,-3.4351065213529663,-1.4334127141147723,0.6055956188274183,4.654557873309623,1407.7024744744274,0.9984871264440183
y_sim[12],-1.6656712182289197,0.09140136319566736,3.0289007292504486,-8.1144984610479,-3.5302821203337795,-1.6809957673856868,0.28288862900348216,4.118455817539539,1098.1577567166946,0.9980348163592442
y_sim[13],-2.942143283959601,0.0877699363821692,2.9918894060290553,-8.630976832953147,-4.840255976455676,-3.043760834245708,-1.015432145217136,3.222410184399074,1161.9822789385298,0.9987965103952434
y_sim[14],-4.922144819475989,0.0835425018521466,2.9712392357200437,-10.727581969902653,-7.0356972337223365,-4.87454439189118,-2.8633220137282267,1.0532749209958148,1264.9119304760115,0.9985050978504442
y_sim[15],-4.519262235810031,0.0874294764509639,2.996188516634535,-10.311914352220889,-6.570978881961508,-4.545242220905966,-2.538070159407733,1.4693191963341206,1174.4175022979252,0.99854310641336
y_sim[16],-3.641603587289407,0.10026611212668618,3.0372948812251703,-9.883939850601093,-5.7017813960528,-3.592542794545621,-1.525916522525981,2.199873958263665,917.6256948213608,1.0056458019693093
y_sim[17],-2.8551669754925486,0.093620087054533,3.0095432499969683,-8.840159873222236,-4.942358978344609,-2.779208309953581,-0.7932637208198158,2.988332787241539,1033.387244558825,0.9997084825498526
y_sim[18],-2.2169769492295837,0.0949382367075002,3.1714167459476714,-8.36913275021575,-4.32745559572926,-2.2580913750997538,-0.03988934193102547,3.879152909008392,1115.8975075288845,1.0000761350341085
y_sim[19],-3.4066219457228284,0.08807209419757119,2.955897504152736,-9.144606764146014,-5.377050393708113,-3.497895317955237,-1.3528118941161482,2.347868325012604,1126.4245188718144,0.9987182388435152
y_sim[20],-1.6553605704071848,0.09558672248974741,3.074826090251177,-7.595268730780946,-3.7109027237220564,-1.599937681855879,0.40304502773822176,4.138544444377803,1034.7751095268097,1.0002823103275487
y_sim[21],-1.3567481009189446,0.0860391512824699,2.94489352355813,-6.845357528290345,-3.419420649940109,-1.2385209233945809,0.6182752167577643,4.514980682402024,1171.5125851148912,1.000396282512697
y_sim[22],-2.5561345644872353,0.09745058935527555,3.0774579362315087,-8.904555102021531,-4.55652145753356,-2.407578775875214,-0.3951764952782396,3.068860627728781,997.2758704052129,0.9997579091014099
y_sim[23],-2.0662663525821787,0.08961223344338767,2.914621413719336,-7.536143026991141,-4.103763965581695,-2.154479210657438,-0.042937992931906664,3.7543678426233162,1057.863662820006,0.9996007551909726
y_sim[24],-4.072203134145316,0.08228320895709229,3.0596764402127543,-9.945698421055404,-6.132205426555476,-4.130054998590428,-2.0158025313339016,2.1291157774247464,1382.7019141857731,0.9985107133802735
y_sim[25],-4.962055419844166,0.08862225928329719,3.094568549065071,-11.317622602069736,-7.010664212410028,-4.9632838819821,-2.8429541815439006,1.103719005409058,1219.3112470003343,1.0001445753382001
y_sim[26],-3.7748197614634162,0.08999776414631838,3.0945698509478907,-9.645320866026715,-5.8715663658213515,-3.8326648365502605,-1.7058291643133079,2.082630886716002,1182.3257268894367,1.0001822014269086
y_sim[27],-4.161100899608216,0.09707487958184025,3.064476251005049,-10.030164193552235,-6.277986127564889,-4.155938306014807,-2.088821659248489,2.1080180798023997,996.5493243927492,1.0002427956044768
y_sim[28],-2.2141344387957815,0.08563478209942807,2.9662676710846676,-7.877449523097431,-4.223781198205258,-2.2240867438722667,-0.10424380642964085,3.6374190337201844,1199.831564635461,0.9998819275350022
y_sim[29],0.8034941312887909,0.09161096018919639,3.0622504145440983,-5.070195922666736,-1.2197476194016175,0.7150049061603295,2.84921361993733,6.7345557968764105,1117.343055361096,0.9985478340067786
y_sim[30],0.03859622306816886,0.09361215492939537,3.0685110037998435,-6.141215905280096,-1.9537760114672018,-0.019735192002500457,2.073311720770877,6.115304937285545,1074.4615645846131,0.9984561400121701
y_sim[31],0.680843347861998,0.09224642999868513,3.148500110190346,-5.562323307991075,-1.4864799464237393,0.6969908534801323,2.848104744895415,6.854024041408113,1164.9526948680789,1.0014790673815064
y_sim[32],-0.13009937374084804,0.10817966220831153,2.9762106015268377,-6.025668632928244,-2.047151145776643,-0.10932781153887286,1.8229201050053698,5.748990482406167,756.8957674147962,0.999516104903401
y_sim[33],0.5729889596404512,0.10773056789775504,3.0688044868654103,-5.041534209715058,-1.469787939120299,0.41782721516877885,2.6155936531499293,6.518332513891867,811.447716606935,1.0020278054222187
y_sim[34],0.3123346639391609,0.09526894304582988,3.0136699089806136,-5.569032960182415,-1.8629550622798123,0.3056062042592486,2.3419902734801914,6.130779978588039,1000.6649071383911,0.9994906951887583
y_sim[35],0.6743090379079746,0.0819664050488411,2.9787450329189427,-5.113953597502784,-1.3684029744642736,0.6726510408160535,2.626205789694618,6.895070319013755,1320.6717454876186,0.9984284240059792
y_sim[36],-0.24081813074002748,0.08866567823202055,2.9918988606495702,-5.860578469054083,-2.099687626893218,-0.19970520583519247,1.6439746722285715,5.619224401693859,1138.630297896491,0.9984232214977825
y_sim[37],0.05403278836852183,0.08266537830327288,2.8667022636875665,-5.5079626945463485,-1.8309223509325276,-0.06521752438517436,1.9506236084904631,5.796735358085865,1202.5907626838075,0.9992237639060463
